English,IPA
lengths,/lɛŋkθs/
matrices,/meɪtrɪsɪz/
directors,/dɝɛktɝz/
legendary,/lɛdʒʌndɛri/
models,/mɑdʌlz/
neither,/niðɝ/
evident,/ɛvʌdʌnt/
restrictions,/ristrɪkʃʌnz/
physiological,/fɪziʌlɑdʒɪkʌl/
resume,/rɪzum/
join,/dʒɔɪn/
potatoes,/pʌteɪtoʊz/
recording,/rʌkɔrdɪŋ/
contain,/kʌnteɪn/
consoles,/kʌnsoʊlz/
elite,/ɪlit/
plain,/pleɪn/
carried,/kærid/
word,/wɝd/
physician,/fʌzɪʃʌn/
quantity,/kwɑntʌti/
celebration,/sɛlʌbreɪʃʌn/
aims,/eɪmz/
prediction,/pridɪkʃʌn/
submitted,/sʌbmɪtʌd/
bird,/bɝd/
metal,/mɛtʌl/
mere,/mɪr/
poisoning,/pɔɪzʌnɪŋ/
mammals,/mæmʌlz/
signed,/saɪnd/
atomic,/ʌtɑmɪk/
consider,/kʌnsɪdɝ/
mechanism,/mɛkʌnɪzʌm/
abolished,/ʌbɑlɪʃt/
disadvantage,/dɪsʌdvæntɪdʒ/
holdings,/hoʊldɪŋz/
uniformly,/junʌfɔrmli/
ruins,/ruʌnz/
capable,/keɪpʌbʌl/
suffrage,/sʌfrɪdʒ/
