English,IPA
the,/ðʌ/
of,/ʌv/
and,/ʌnd/
to,/tu/
in,/ɪn/
is,/ɪz/
was,/wɑz/
that,/ðæt/
for,/fɔr/
as,/æz/
with,/wɪð/
by,/baɪ/
on,/ɑn/
are,/ɑr/
from,/frʌm/
be,/bi/
or,/ɔr/
his,/hɪz/
were,/wɝ/
it,/ɪt/
an,/æn/
at,/æt/
not,/nɑt/
which,/wɪtʃ/
have,/hæv/
he,/hi/
had,/hæd/
this,/ðɪs/
has,/hæz/
also,/ɔlsoʊ/
their,/ðɛr/
but,/bʌt/
one,/wʌn/
can,/kæn/
its,/ɪts/
other,/ʌðɝ/
been,/bɪn/
more,/mɔr/
they,/ðeɪ/
used,/juzd/
first,/fɝst/
all,/ɔl/
two,/tu/
citation,/saɪteɪʃʌn/
than,/ðæn/
into,/ɪntu/
would,/wʊd/
only,/oʊnli/
time,/taɪm/
who,/hu/
most,/moʊst/
may,/meɪ/
such,/sʌtʃ/
some,/sʌm/
many,/mɛni/
when,/wɛn/
after,/æftɝ/
between,/bɪtwin/
over,/oʊvɝ/
these,/ðiz/
her,/hɝ/
about,/ʌbaʊt/
there,/ðɛr/
use,/jus/
no,/noʊ/
them,/ðɛm/
new,/nu/
him,/hɪm/
will,/wɪl/
out,/aʊt/
during,/dʊrɪŋ/
made,/meɪd/
both,/boʊθ/
then,/ðɛn/
often,/ɔfʌn/
so,/soʊ/
any,/ɛni/
being,/biɪŋ/
where,/wɛr/
number,/nʌmbɝ/
could,/kʊd/
main,/meɪn/
p.,/pi/
through,/θru/
system,/sɪstʌm/
people,/pipʌl/
known,/noʊn/
each,/itʃ/
while,/waɪl/
if,/ɪf/
called,/kɔld/
convert,/kɑnvɝt/
same,/seɪm/
later,/leɪtɝ/
three,/θri/
because,/bɪkɔz/
well,/wɛl/
work,/wɝk/
before,/bɪfɔr/
under,/ʌndɝ/
part,/pɑrt/
very,/vɛri/
different,/dɪfɝʌnt/
became,/bɪkeɪm/
year,/jɪr/
did,/dɪd/
large,/lɑrdʒ/
example,/ɪɡzæmpʌl/
several,/sɛvrʌl/
city,/sɪti/
early,/ɝli/
until,/ʌntɪl/
much,/mʌtʃ/
government,/ɡʌvɝmʌnt/
found,/faʊnd/
own,/oʊn/
since,/sɪns/
she,/ʃi/
even,/ivɪn/
form,/fɔrm/
power,/paʊɝ/
do,/du/
those,/ðoʊz/
around,/ɝaʊnd/
state,/steɪt/
including,/ɪnkludɪŋ/
set,/sɛt/
high,/haɪ/
life,/laɪf/
against,/ʌɡɛnst/
second,/sɛkʌnd/
century,/sɛntʃɝi/
within,/wɪðɪn/
world,/wɝld/
still,/stɪl/
end,/ɛnd/
using,/juzɪŋ/
small,/smɔl/
name,/neɪm/
what,/wʌt/
now,/naʊ/
usually,/juʒʌwʌli/
without,/wɪθaʊt/
however,/haʊɛvɝ/
began,/bɪɡæn/
like,/laɪk/
area,/ɛriʌ/
make,/meɪk/
common,/kɑmʌn/
water,/wɔtɝ/
another,/ʌnʌðɝ/
way,/weɪ/
due,/du/
must,/mʌst/
long,/lɔŋ/
less,/lɛs/
four,/fɔr/
death,/dɛθ/
said,/sɛd/
film,/fɪlm/
order,/ɔrdɝ/
back,/bæk/
public,/pʌblɪk/
does,/dʌz/
left,/lɛft/
based,/beɪst/
few,/fju/
become,/bɪkʌm/
given,/ɡɪvʌn/
country,/kʌntri/
major,/meɪdʒɝ/
place,/pleɪs/
group,/ɡrup/
considered,/kʌnsɪdɝd/
among,/ʌmʌŋ/
game,/ɡeɪm/
point,/pɔɪnt/
period,/pɪriʌd/
support,/sʌpɔrt/
war,/wɔr/
music,/mjuzɪk/
down,/daʊn/
million,/mɪljʌn/
important,/ɪmpɔrtʌnt/
systems,/sɪstʌmz/
control,/kʌntroʊl/
should,/ʃʊd/
took,/tʊk/
day,/deɪ/
family,/fæmʌli/
language,/læŋɡwʌdʒ/
last,/læst/
original,/ɝɪdʒʌnʌl/
result,/rɪzʌlt/
political,/pʌlɪtʌkʌl/
line,/laɪn/
members,/mɛmbɝz/
case,/keɪs/
see,/si/
single,/sɪŋɡʌl/
just,/dʒʌst/
process,/prɑsɛs/
along,/ʌlɔŋ/
similar,/sɪmʌlɝ/
take,/teɪk/
following,/fɑloʊɪŋ/
we,/wi/
although,/ɔlðoʊ/
countries,/kʌntriz/
right,/raɪt/
either,/iðɝ/
times,/taɪmz/
areas,/ɛriʌz/
published,/pʌblɪʃt/
local,/loʊkʌl/
include,/ɪnklud/
population,/pɑpjʌleɪʃʌn/
never,/nɛvɝ/
data,/deɪtʌ/
home,/hoʊm/
every,/ɛvɝi/
various,/vɛriʌs/
modern,/mɑdɝn/
further,/fɝðɝ/
development,/dɪvɛlʌpmʌnt/
per,/pɝ/
how,/haʊ/
led,/lɛd/
possible,/pɑsʌbʌl/
military,/mɪlʌtɛri/
popular,/pɑpjʌlɝ/
term,/tɝm/
though,/ðoʊ/
history,/hɪstɝi/
generally,/dʒɛnɝʌli/
you,/ju/
off,/ɔf/
rather,/ræðɝ/
men,/mɛn/
law,/lɔ/
developed,/dɪvɛlʌpt/
held,/hɛld/
human,/hjumʌn/
production,/prʌdʌkʃʌn/
body,/bɑdi/
general,/dʒɛnɝʌl/
light,/laɪt/
sometimes,/sʌmtaɪmz/
states,/steɪts/
late,/leɪt/
field,/fild/
having,/hævɪŋ/
came,/keɪm/
above,/ʌbʌv/
available,/ʌveɪlʌbʌl/
book,/bʊk/
others,/ʌðɝz/
next,/nɛkst/
created,/krieɪtʌd/
show,/ʃoʊ/
himself,/hɪmsɛlf/
wrote,/roʊt/
days,/deɪz/
died,/daɪd/
word,/wɝd/
play,/pleɪ/
again,/ʌɡɛn/
great,/ɡreɪt/
service,/sɝvʌs/
age,/eɪdʒ/
seen,/sin/
children,/tʃɪldrʌn/
level,/lɛvʌl/
released,/rilist/
works,/wɝks/
continued,/kʌntɪnjud/
pp.,N/A
five,/faɪv/
higher,/haɪɝ/
species,/spiʃiz/
energy,/ɛnɝdʒi/
required,/rikwaɪɝd/
change,/tʃeɪndʒ/
means,/minz/
team,/tim/
information,/ɪnfɝmeɪʃʌn/
theory,/θɪri/
produced,/prʌdust/
making,/meɪkɪŋ/
built,/bɪlt/
design,/dɪzaɪn/
role,/roʊl/
addition,/ʌdɪʃʌn/
included,/ɪnkludʌd/
almost,/ɔlmoʊst/
side,/saɪd/
position,/pʌzɪʃʌn/
groups,/ɡrups/
able,/eɪbʌl/
de,/di/
land,/lænd/
total,/toʊtʌl/
range,/reɪndʒ/
national,/næʃʌnʌl/
space,/speɪs/
written,/rɪtʌn/
social,/soʊʃʌl/
version,/vɝʒʌn/
season,/sizʌn/
force,/fɔrs/
air,/ɛr/
allowed,/ʌlaʊd/
largest,/lɑrdʒʌst/
good,/ɡʊd/
type,/taɪp/
itself,/ɪtsɛlf/
received,/rʌsivd/
women,/wɪmʌn/
low,/loʊ/
throughout,/θruaʊt/
taken,/teɪkʌn/
standard,/stændɝd/
little,/lɪtʌl/
least,/list/
free,/fri/
cases,/keɪsʌz/
size,/saɪz/
thus,/ðʌs/
school,/skul/
especially,/ʌspɛʃli/
old,/oʊld/
upon,/ʌpɑn/
particular,/pɝtɪkjʌlɝ/
terms,/tɝmz/
effect,/ɪfɛkt/
provide,/prʌvaɪd/
lower,/loʊɝ/
certain,/sɝtʌn/
together,/tʌɡɛðɝ/
present,/prɛzʌnt/
always,/ɔlweɪz/
short,/ʃɔrt/
parts,/pɑrts/
words,/wɝdz/
third,/θɝd/
described,/dɪskraɪbd/
too,/tu/
up,/ʌp/
established,/ɪstæblɪʃt/
might,/maɪt/
played,/pleɪd/
forces,/fɔrsɪz/
natural,/nætʃɝʌl/
once,/wʌns/
months,/mʌnθs/
rate,/reɪt/
numbers,/nʌmbɝz/
six,/sɪks/
man,/mæn/
hand,/hænd/
typically,/tɪpɪkli/
value,/vælju/
final,/faɪnʌl/
average,/ævɝɪdʒ/
instead,/ɪnstɛd/
current,/kɝʌnt/
international,/ɪntɝnæʃʌnʌl/
program,/proʊɡræm/
character,/kɛrɪktɝ/
increased,/ɪnkrist/
surface,/sɝfʌs/
across,/ʌkrɔs/
thought,/θɔt/
company,/kʌmpʌni/
followed,/fɑloʊd/
best,/bɛst/
provided,/prʌvaɪdʌd/
economic,/ɛkʌnɑmɪk/
games,/ɡeɪmz/
significant,/sʌɡnɪfɪkʌnt/
named,/neɪmd/
function,/fʌŋkʃʌn/
building,/bɪldɪŋ/
went,/wɛnt/
return,/rɪtɝn/
uses,/jusʌz/
fact,/fækt/
study,/stʌdi/
below,/bɪloʊ/
full,/fʊl/
source,/sɔrs/
lost,/lɔst/
person,/pɝsʌn/
changes,/tʃeɪndʒʌz/
longer,/lɔŋɡɝ/
research,/risɝtʃ/
individual,/ɪndʌvɪdʒʌwʌl/
languages,/læŋɡwʌdʒʌz/
strong,/strɔŋ/
structure,/strʌktʃɝ/
party,/pɑrti/
larger,/lɑrdʒɝ/
run,/rʌn/
open,/oʊpʌn/
cause,/kɑz/
aircraft,/ɛrkræft/
away,/ʌweɪ/
far,/fɑr/
region,/ridʒʌn/
need,/nid/
food,/fud/
forms,/fɔrmz/
increase,/ɪnkris/
outside,/aʊtsaɪd/
started,/stɑrtʌd/
material,/mʌtɪriʌl/
cannot,/kænɑt/
half,/hæf/
head,/hɛd/
market,/mɑrkʌt/
near,/nɪr/
record,/rʌkɔrd/
traditional,/trʌdɪʃʌnʌl/
special,/spɛʃʌl/
style,/staɪl/
sent,/sɛnt/
story,/stɔri/
player,/pleɪɝ/
designed,/dɪzaɪnd/
top,/tɑp/
themselves,/ðɛmsɛlvz/
model,/mɑdʌl/
returned,/rɪtɝnd/
band,/bænd/
help,/hɛlp/
types,/taɪps/
come,/kʌm/
points,/pɔɪnts/
added,/ædʌd/
events,/ɪvɛnts/
network,/nɛtwɝk/
limited,/lɪmʌtʌd/
services,/sɝvʌsʌz/
nature,/neɪtʃɝ/
army,/ɑrmi/
former,/fɔrmɝ/
father,/fɑðɝ/
close,/kloʊs/
view,/vju/
allow,/ʌlaʊ/
won,/wʌn/
specific,/spʌsɪfɪk/
elements,/ɛlʌmʌnts/
practice,/præktʌs/
lines,/laɪnz/
gave,/ɡeɪv/
pressure,/prɛʃɝ/
introduced,/ɪntrʌdust/
produce,/prʌdus/
moved,/muvd/
whether,/wɛðɝ/
religious,/rɪlɪdʒʌs/
put,/pʊt/
official,/ʌfɪʃʌl/
movement,/muvmʌnt/
my,/maɪ/
students,/studʌnts/
trade,/treɪd/
method,/mɛθʌd/
attack,/ʌtæk/
problems,/prɑblʌmz/
art,/ɑrt/
eventually,/ɪvɛntʃʌwʌli/
evidence,/ɛvʌdʌns/
referred,/rʌfɝd/
results,/rɪzʌlts/
caused,/kɑzd/
remained,/rɪmeɪnd/
influence,/ɪnfluʌns/
success,/sʌksɛs/
meaning,/minɪŋ/
brought,/brɔt/
believed,/bɪlivd/
enough,/ɪnʌf/
features,/fitʃɝz/
give,/ɡɪv/
young,/jʌŋ/
white,/waɪt/
culture,/kʌltʃɝ/
problem,/prɑblʌm/
characters,/kærɪktɝz/
lead,/lɛd/
action,/ækʃʌn/
according,/ʌkɔrdɪŋ/
conditions,/kʌndɪʃʌnz/
performance,/pɝfɔrmʌns/
effects,/ɪfɛkts/
amount,/ʌmaʊnt/
black,/blæk/
business,/bɪznʌs/
working,/wɝkɪŋ/
better,/bɛtɝ/
difficult,/dɪfʌkʌlt/
temperature,/tɛmprʌtʃɝ/
education,/ɛdʒʌkeɪʃʌn/
real,/ril/
money,/mʌni/
smaller,/smɔlɝ/
create,/krieɪt/
located,/loʊkeɪtʌd/
directly,/dɝɛktli/
sound,/saʊnd/
leading,/lidɪŋ/
ground,/ɡraʊnd/
therefore,/ðɛrfɔr/
get,/ɡɛt/
private,/praɪvʌt/
formed,/fɔrmd/
particularly,/pɑrtɪkjʌlɝli/
television,/tɛlʌvɪʒʌn/
subject,/sʌbdʒɛkt/
south,/saʊθ/
cities,/sɪtiz/
album,/ælbʌm/
class,/klæs/
industry,/ɪndʌstri/
computer,/kʌmpjutɝ/
beginning,/bɪɡɪnɪŋ/
community,/kʌmjunʌti/
already,/ɔlrɛdi/
complete,/kʌmplit/
go,/ɡoʊ/
players,/pleɪɝz/
associated,/ʌsoʊsieɪtʌd/
related,/rɪleɪtɪd/
physical,/fɪzɪkʌl/
our,/aʊɝ/
town,/taʊn/
move,/muv/
complex,/kɑmplɛks/
interest,/ɪntrʌst/
rule,/rul/
speed,/spid/
commonly,/kɑmʌnli/
rights,/raɪts/
living,/lɪvɪŋ/
greater,/ɡreɪtɝ/
writing,/raɪtɪŋ/
find,/faɪnd/
growth,/ɡroʊθ/
killed,/kɪld/
court,/kɔrt/
levels,/lɛvʌlz/
house,/haʊs/
office,/ɔfʌs/
done,/dʌn/
shows,/ʃoʊz/
needed,/nidʌd/
saw,/sɔ/
central,/sɛntrʌl/
entire,/ɪntaɪɝ/
fire,/faɪɝ/
son,/sʌn/
books,/bʊks/
mostly,/moʊstli/
access,/æksɛs/
soon,/sun/
today,/tʌdeɪ/
earlier,/ɝliɝ/
variety,/vɝaɪʌti/
additional,/ʌdɪʃʌnʌl/
percent,/pɝsɛnt/
foreign,/fɔrʌn/
ever,/ɛvɝ/
recorded,/rʌkɔrdʌd/
future,/fjutʃɝ/
widely,/waɪdli/
title,/taɪtʌl/
shown,/ʃoʊn/
successful,/sʌksɛsfʌl/
radio,/reɪdioʊ/
project,/prɑdʒɛkt/
construction,/kʌnstrʌkʃʌn/
changed,/tʃeɪndʒd/
king,/kɪŋ/
remains,/rɪmeɪnz/
mass,/mæs/
personal,/pɝsɪnɪl/
policy,/pɑlʌsi/
code,/koʊd/
includes,/ɪnkludz/
involved,/ɪnvɑlvd/
idea,/aɪdiʌ/
names,/neɪmz/
separate,/sɛpɝeɪt/
base,/beɪs/
length,/lɛŋkθ/
rules,/rulz/
key,/ki/
units,/junʌts/
likely,/laɪkli/
makes,/meɪks/
release,/rilis/
cost,/kɑst/
church,/tʃɝtʃ/
films,/fɪlmz/
majority,/mʌdʒɔrʌti/
primary,/praɪmɛri/
performed,/pɝfɔrmd/
methods,/mɛθʌdz/
stated,/steɪtʌd/
appear,/ʌpɪr/
whole,/hoʊl/
member,/mɛmbɝ/
allows,/ʌlaʊz/
decided,/dɪsaɪdɪd/
reported,/ripɔrtʌd/
sold,/soʊld/
capital,/kæpʌtʌl/
science,/saɪʌns/
society,/sʌsaɪʌti/
